UF,ano,populacao,pib_mil_reais,pib_bilhoes,IDH,desmatamento_km2,ano_categorico,ano_normalizado,decada,desmatamento_km2_growth_rate,pib_bilhoes_growth_rate,populacao_growth_rate,IDH_growth_rate,desmatamento_lag1,desmatamento_lag2,pib_lag1,idh_lag1,desmatamento_ma3,desmatamento_std3,pib_ma3,pib_per_capita,desmatamento_per_capita,intensidade_desmatamento,idh_ajustado,categoria_idh,categoria_desmatamento,periodo,desmatamento_km2_mean,desmatamento_km2_std,desmatamento_desvio_estado,desmatamento_zscore_estado,desmatamento_km2_normalized,pib_bilhoes_normalized,populacao_normalized,pib_x_populacao,idh_x_pib,ano_x_pib
MA,2012,6714314,60490110.0,60.49,0.648,334.52347176545067,2012,0.0,2010,-11.100715125628735,0.0,0.0,0.0,334.52347176545067,334.52347176545067,60.49,0.648,334.52347176545067,26.258055089454036,60.49,9009.110982894157,49.82243484076715,5.5302276701182125,0.4855665814125818,Baixo,Médio,Primeira_Metade,758.3245108533008,1260.0270823901053,-423.80103908785014,-0.3363428016832427,0.01807522279071721,0.206826286296485,0.7516960373633781,406148853.86,39.197520000000004,121705.88
MA,2013,6794301,67694839.0,67.69,0.661,297.3889741364049,2013,0.1111111111111111,2010,-11.100715125628735,11.90279385022317,1.1912907260518413,2.0061728395061706,334.52347176545067,334.52347176545067,60.49,0.648,315.9562229509278,26.258055089454036,64.09,9962.761437857993,43.770356087610025,4.393395983696335,0.5094848292818186,Baixo,Médio,Primeira_Metade,758.3245108533008,1260.0270823901053,-460.9355367168959,-0.36581399174576623,0.01604875295474341,0.23504055801559623,0.7613242091578796,459906234.69,44.74309,136259.97
MA,2014,6850884,76842026.0,76.84,0.663,285.9520787493498,2014,0.2222222222222222,2010,-3.8457698104870763,13.517506278623138,0.8328009018146343,0.302571860816947,297.3889741364049,334.52347176545067,67.69,0.661,305.9548415504018,25.393416829894374,68.34,11216.07080195782,41.739442493749685,3.7213961315636364,0.5155713116812249,Baixo,Médio,Primeira_Metade,758.3245108533008,1260.0270823901053,-472.372432103951,-0.37489069775224415,0.015424629161536986,0.2708961949919668,0.7681352015022389,526421926.56,50.94492,154755.76
MA,2015,6904241,78475993.0,78.48,0.669,217.41806094801987,2015,0.3333333333333333,2010,-23.966959114643537,2.1343050494534,0.7788337972150838,0.9049773755656076,285.9520787493498,297.3889741364049,76.84,0.663,266.91970461125817,43.249395233289434,74.33666666666666,11366.926502131082,31.49050865229355,2.770362652242863,0.5495236365058037,Baixo,Médio,Primeira_Metade,758.3245108533008,1260.0270823901053,-540.906449905281,-0.42928160629631285,0.011684653433311267,0.2773227791057644,0.7745578747171264,541844833.6800001,52.50312,158137.2
MA,2016,6954036,85310044.0,85.31,0.68,247.2381415375187,2016,0.4444444444444444,2010,13.715548956454061,8.702854230377156,0.7212233756034969,1.6442451420029869,217.41806094801987,285.9520787493498,78.48,0.669,250.20276041162947,34.36305607479937,80.21,12267.696054492671,35.55318688852325,2.8981144243056933,0.5452046224001278,Baixo,Médio,Primeira_Metade,758.3245108533008,1260.0270823901053,-511.0863693157821,-0.4056153843505638,0.013311967593437687,0.3040871507504213,0.78055178390871,593248811.16,58.0108,171984.96
MA,2017,7000229,89542756.0,89.54,0.685,272.9848446711138,2017,0.5555555555555556,2010,10.413726204816998,4.958387058961433,0.6642617323235012,0.7352941176470562,247.2381415375187,217.41806094801987,85.31,0.68,245.88034905221744,27.808264305007118,84.44333333333334,12791.010122668844,38.996559208436445,3.0487474276425486,0.5381053850464146,Baixo,Médio,Segunda_Metade,758.3245108533008,1260.0270823901053,-485.339666182187,-0.38518193217050667,0.01471699312514685,0.3206630353853992,0.7861121142086764,626800504.6600001,61.33490000000001,180602.18000000002
MA,2018,7035055,98179501.0,98.18,0.686,183.2525423661436,2018,0.6666666666666666,2010,-32.87079999370579,9.64931874022783,0.49749801042222597,0.14598540145984717,272.9848446711138,247.2381415375187,89.54,0.685,234.4918428582587,46.204140688398525,91.01,13955.825505273235,26.048487519449896,1.8664956443893215,0.5797578922824114,Baixo,Médio,Segunda_Metade,758.3245108533008,1260.0270823901053,-575.0719684871572,-0.4563965144275482,0.009820204006037468,0.3545201614483327,0.790304179305696,690701699.9000001,67.35148000000001,198127.24000000002
MA,2019,7075181,97339951.0,97.34,0.694,272.67975878567034,2019,0.7777777777777778,2010,48.79998676408468,-0.8555713994703673,0.5703722287885515,1.1661807580174877,183.2525423661436,272.9848446711138,98.18,0.686,242.9723819409759,51.71912314107964,95.02000000000002,13757.951916707148,38.54032268371231,2.8013125003664507,0.5453060718606708,Baixo,Médio,Segunda_Metade,758.3245108533008,1260.0270823901053,-485.64475206763046,-0.3854240586213642,0.014700344257282567,0.3512284964144364,0.7951342144542347,688698118.5400001,67.55396,196529.46000000002
MA,2020,7114598,106915959.0,106.92,0.699,4235.281677571428,2020,0.8888888888888888,2020,1453.2072114309049,9.841791658105613,0.5571164893166669,0.7204610951008661,272.67975878567034,183.2525423661436,97.34,0.694,1563.7379929077472,2314.0567303026373,100.81333333333333,15028.255988602588,595.294586928373,39.61168796830741,0.13351717119531495,Baixo,Muito Alto,Segunda_Metade,758.3245108533008,1260.0270823901053,3476.957166718127,2.759430503765679,0.23094383139443672,0.38876915239625387,0.7998789060619192,760692818.16,74.73707999999999,215978.4
MA,2021,7153262,124980719.0,124.98,0.676,1236.5255580019084,2021,1.0,2020,-70.80417190313185,16.89113355780023,0.543446024638361,-3.290414878397696,4235.281677571428,272.67975878567034,106.92,0.699,1914.8289981196688,2066.549094347345,109.74666666666667,17471.74925229916,172.8617738315622,9.89378747001047,0.3022545383312912,Baixo,Alto,Segunda_Metade,758.3245108533008,1260.0270823901053,478.2010471486076,0.3795164832818698,0.06729845553788363,0.45953995062502456,0.8045329577736049,894014684.76,84.48648000000001,252584.58000000002
